block;num_tones;prob;style;running_no;file_name;difficulty
1;3;60;A;1;block_01_tc3_p60_styleA_01;medium
1;3;60;A;2;block_01_tc3_p60_styleA_02;medium
1;3;60;A;3;block_01_tc3_p60_styleA_03;medium
1;3;60;A;4;block_01_tc3_p60_styleA_04;medium
1;3;60;A;5;block_01_tc3_p60_styleA_05;medium
1;3;60;A;6;block_01_tc3_p60_styleA_06;medium
1;3;60;A;7;block_01_tc3_p60_styleA_07;medium
1;3;60;A;8;block_01_tc3_p60_styleA_08;medium
1;3;60;A;9;block_01_tc3_p60_styleA_09;medium
1;3;60;A;10;block_01_tc3_p60_styleA_10;medium
1;3;60;A;11;block_01_tc3_p60_styleA_11;medium
1;3;60;A;12;block_01_tc3_p60_styleA_12;medium
1;3;60;A;13;block_01_tc3_p60_styleA_13;medium
1;3;60;A;14;block_01_tc3_p60_styleA_14;medium
1;3;60;A;15;block_01_tc3_p60_styleA_15;medium
1;3;60;A;16;block_01_tc3_p60_styleA_16;medium
1;3;60;A;17;block_01_tc3_p60_styleA_17;medium
1;3;60;A;18;block_01_tc3_p60_styleA_18;medium
1;3;60;A;19;block_01_tc3_p60_styleA_19;medium
1;3;60;A;20;block_01_tc3_p60_styleA_20;medium
1;3;60;A;21;block_01_tc3_p60_styleA_21;medium
1;3;60;A;22;block_01_tc3_p60_styleA_22;medium
1;3;60;A;23;block_01_tc3_p60_styleA_23;medium
1;3;60;A;24;block_01_tc3_p60_styleA_24;medium
1;3;60;A;25;block_01_tc3_p60_styleA_25;medium
1;3;60;B;1;block_01_tc3_p60_styleB_01;medium
1;3;60;B;2;block_01_tc3_p60_styleB_02;medium
1;3;60;B;3;block_01_tc3_p60_styleB_03;medium
1;3;60;B;4;block_01_tc3_p60_styleB_04;medium
1;3;60;B;5;block_01_tc3_p60_styleB_05;medium
1;3;60;B;6;block_01_tc3_p60_styleB_06;medium
1;3;60;B;7;block_01_tc3_p60_styleB_07;medium
1;3;60;B;8;block_01_tc3_p60_styleB_08;medium
