"item_number","style","correct","file_name","tones","block","grammar_type"
1,"A","A","loui_styleA_01.mp3","0-7-7-7-10-0-4-7-7-0",1,"loui_fsg"
1,"B","B","loui_styleB_01.mp3","7-4-0-7-7-7-10-7-0-0",1,"loui_fsg"
2,"A","A","loui_styleA_02.mp3","0-7-7-0-6-10-6-6-6-0",1,"loui_fsg"
2,"B","B","loui_styleB_02.mp3","0-6-10-0-7-6-0-7-6-6",1,"loui_fsg"
3,"A","A","loui_styleA_03.mp3","0-7-4-0-6-0-0-6-6-10",1,"loui_fsg"
3,"B","B","loui_styleB_03.mp3","6-0-0-0-7-6-4-0-10-6",1,"loui_fsg"
4,"A","A","loui_styleA_04.mp3","6-0-10-10-0-0-10-10-7-0",1,"loui_fsg"
4,"B","B","loui_styleB_04.mp3","10-10-10-0-0-6-0-7-10-0",1,"loui_fsg"
5,"A","A","loui_styleA_05.mp3","0-3-7-10-7-7-4-7-7-10",1,"loui_fsg"
5,"B","B","loui_styleB_05.mp3","7-7-0-7-10-4-7-3-7-10",1,"loui_fsg"
6,"A","A","loui_styleA_06.mp3","6-10-3-3-7-6-10-10-10-10",1,"loui_fsg"
6,"B","B","loui_styleB_06.mp3","10-7-10-10-3-10-6-10-6-3",1,"loui_fsg"
7,"A","A","loui_styleA_07.mp3","0-0-0-3-4-7-7-6-0-3",1,"loui_fsg"
7,"B","B","loui_styleB_07.mp3","0-7-0-3-0-3-0-6-7-4",1,"loui_fsg"
8,"A","A","loui_styleA_08.mp3","0-0-0-7-4-0-10-7-0-10",1,"loui_fsg"
8,"B","B","loui_styleB_08.mp3","0-0-0-4-10-7-0-10-0-7",1,"loui_fsg"
9,"A","A","loui_styleA_09.mp3","6-10-10-10-7-7-6-0-0-3",1,"loui_fsg"
9,"B","B","loui_styleB_09.mp3","6-10-6-10-0-10-7-0-7-3",1,"loui_fsg"
10,"A","A","loui_styleA_10.mp3","10-10-10-6-7-4-10-6-10-3",1,"loui_fsg"
10,"B","B","loui_styleB_10.mp3","7-10-10-4-10-10-6-10-3-6",1,"loui_fsg"
11,"A","A","loui_styleA_11.mp3","0-0-3-3-3-4-10-6-6-10",1,"loui_fsg"
11,"B","B","loui_styleB_11.mp3","3-6-4-0-3-6-0-10-10-3",1,"loui_fsg"
12,"A","A","loui_styleA_12.mp3","0-10-10-4-10-6-6-10-6-10",1,"loui_fsg"
12,"B","B","loui_styleB_12.mp3","6-4-0-6-6-10-10-10-10-10",1,"loui_fsg"
13,"A","A","loui_styleA_13.mp3","6-6-0-0-7-7-3-3-7-10",1,"loui_fsg"
13,"B","B","loui_styleB_13.mp3","0-10-7-6-0-3-7-7-6-3",1,"loui_fsg"
14,"A","A","loui_styleA_14.mp3","10-10-7-7-6-6-10-10-10-10",1,"loui_fsg"
14,"B","B","loui_styleB_14.mp3","6-7-10-10-10-6-10-7-10-10",1,"loui_fsg"
15,"A","A","loui_styleA_15.mp3","6-10-7-10-10-3-0-4-7-0",1,"loui_fsg"
15,"B","B","loui_styleB_15.mp3","10-3-10-6-7-10-7-0-0-4",1,"loui_fsg"
16,"A","A","loui_styleA_16.mp3","6-3-7-7-7-10-10-10-0-0",1,"loui_fsg"
16,"B","B","loui_styleB_16.mp3","0-10-7-7-0-10-7-6-10-3",1,"loui_fsg"
17,"A","A","loui_styleA_17.mp3","0-10-7-7-0-6-0-6-6-0",1,"loui_fsg"
17,"B","B","loui_styleB_17.mp3","0-6-0-6-7-6-0-10-0-7",1,"loui_fsg"
18,"A","A","loui_styleA_18.mp3","6-7-10-10-10-4-0-10-10-3",1,"loui_fsg"
18,"B","B","loui_styleB_18.mp3","0-3-10-6-10-10-7-10-10-4",1,"loui_fsg"
19,"A","A","loui_styleA_19.mp3","6-6-7-3-7-7-6-0-0-6",1,"loui_fsg"
19,"B","B","loui_styleB_19.mp3","3-6-6-0-6-7-7-0-7-6",1,"loui_fsg"
20,"A","A","loui_styleA_20.mp3","0-0-0-10-0-0-0-0-0-0",1,"loui_fsg"
20,"B","B","loui_styleB_20.mp3","0-0-0-0-0-0-0-0-0-10",1,"loui_fsg"
21,"A","A","loui_styleA_21.mp3","0-3-7-3-4-6-0-0-10-7",1,"loui_fsg"
21,"B","B","loui_styleB_21.mp3","7-0-3-10-7-4-0-3-0-6",1,"loui_fsg"
22,"A","A","loui_styleA_22.mp3","10-7-7-7-7-7-7-4-7-6",1,"loui_fsg"
22,"B","B","loui_styleB_22.mp3","7-10-7-7-7-4-7-7-6-7",1,"loui_fsg"
23,"A","A","loui_styleA_23.mp3","10-3-0-6-6-0-0-10-10-4",1,"loui_fsg"
23,"B","B","loui_styleB_23.mp3","4-0-10-6-0-10-0-3-10-6",1,"loui_fsg"
24,"A","A","loui_styleA_24.mp3","6-0-0-10-10-7-10-0-10-10",1,"loui_fsg"
24,"B","B","loui_styleB_24.mp3","10-0-10-10-10-10-6-0-0-7",1,"loui_fsg"
25,"A","A","loui_styleA_25.mp3","0-7-3-4-7-7-10-10-10-10",1,"loui_fsg"
25,"B","B","loui_styleB_25.mp3","7-7-10-4-10-3-7-10-0-10",1,"loui_fsg"
