"item_number","style","correct","file_name","tones","block","grammar_type"
1,"A","A","reber_styleA_01.mp3","A-B-B-B-B-D-E-C-D-B",1,"reber_fsg"
1,"B","B","reber_styleB_01.mp3","D-A-D-B-B-B-E-B-C-B",1,"reber_fsg"
2,"A","A","reber_styleA_02.mp3","D-C-B-B-B-B-B-B-D-B",1,"reber_fsg"
2,"B","B","reber_styleB_02.mp3","B-C-B-B-B-D-B-D-B-B",1,"reber_fsg"
3,"A","A","reber_styleA_03.mp3","A-B-B-B-D-E-C-B-D-B",1,"reber_fsg"
3,"B","B","reber_styleB_03.mp3","B-D-B-D-B-B-E-C-B-A",1,"reber_fsg"
4,"A","A","reber_styleA_04.mp3","A-B-D-E-C-D-E-C-E-A",1,"reber_fsg"
4,"B","B","reber_styleB_04.mp3","E-C-B-E-C-A-A-D-D-E",1,"reber_fsg"
5,"A","A","reber_styleA_05.mp3","D-C-D-E-C-D-E-C-D-B",1,"reber_fsg"
5,"B","B","reber_styleB_05.mp3","C-D-B-C-D-D-E-E-C-D",1,"reber_fsg"
6,"A","A","reber_styleA_06.mp3","D-C-D-E-C-E-E-E-E-A",1,"reber_fsg"
6,"B","B","reber_styleB_06.mp3","C-E-E-E-D-E-D-E-A-C",1,"reber_fsg"
7,"A","A","reber_styleA_07.mp3","A-B-B-D-E-C-D-E-C-A",1,"reber_fsg"
7,"B","B","reber_styleB_07.mp3","C-D-D-A-C-E-A-B-E-B",1,"reber_fsg"
8,"A","A","reber_styleA_08.mp3","A-B-D-E-C-B-B-B-D-B",1,"reber_fsg"
8,"B","B","reber_styleB_08.mp3","A-B-E-B-C-D-B-D-B-B",1,"reber_fsg"
9,"A","A","reber_styleA_09.mp3","A-B-D-E-C-B-D-E-C-A",1,"reber_fsg"
9,"B","B","reber_styleB_09.mp3","B-E-C-A-A-E-D-C-D-B",1,"reber_fsg"
10,"A","A","reber_styleA_10.mp3","A-D-E-C-B-B-B-B-D-B",1,"reber_fsg"
10,"B","B","reber_styleB_10.mp3","C-B-B-A-E-B-D-B-D-B",1,"reber_fsg"
11,"A","A","reber_styleA_11.mp3","A-D-E-C-B-D-E-C-E-A",1,"reber_fsg"
11,"B","B","reber_styleB_11.mp3","B-C-A-C-A-D-E-E-E-D",1,"reber_fsg"
12,"A","A","reber_styleA_12.mp3","A-D-E-C-D-E-C-E-E-A",1,"reber_fsg"
12,"B","B","reber_styleB_12.mp3","E-A-A-E-D-D-C-C-E-E",1,"reber_fsg"
13,"A","A","reber_styleA_13.mp3","D-C-B-B-B-B-D-E-C-A",1,"reber_fsg"
13,"B","B","reber_styleB_13.mp3","A-B-C-B-C-B-D-D-B-E",1,"reber_fsg"
14,"A","A","reber_styleA_14.mp3","D-C-B-B-B-D-E-C-E-A",1,"reber_fsg"
14,"B","B","reber_styleB_14.mp3","C-E-B-B-B-A-C-D-D-E",1,"reber_fsg"
15,"A","A","reber_styleA_15.mp3","D-C-B-D-E-C-E-E-E-A",1,"reber_fsg"
15,"B","B","reber_styleB_15.mp3","C-D-A-B-E-E-C-E-E-D",1,"reber_fsg"
16,"A","A","reber_styleA_16.mp3","A-B-B-D-E-C-B-B-D-B",1,"reber_fsg"
16,"B","B","reber_styleB_16.mp3","E-C-B-D-B-D-A-B-B-B",1,"reber_fsg"
17,"A","A","reber_styleA_17.mp3","D-C-B-B-D-E-C-E-E-A",1,"reber_fsg"
17,"B","B","reber_styleB_17.mp3","D-C-E-E-D-A-B-B-C-E",1,"reber_fsg"
18,"A","A","reber_styleA_18.mp3","A-D-E-C-B-B-D-E-C-A",1,"reber_fsg"
18,"B","B","reber_styleB_18.mp3","B-A-C-A-B-C-E-D-E-D",1,"reber_fsg"
